Attendance,Capacity,Full,Gross,Gross Potential,Month,Name,Performances,Type,Year,Gross per performance,log(Gross per performance)
4252,91,09/08/2013,358542,58,9,Rock Of Ages,8,Musical,2013,44817.75,10.710359545
3074,51,04/13/2014,100056,13,4,The Velocity Of Autumn,0,Play,2014,,
8752,103,01/12/2014,1709586,123,1,The Book Of Mormon,8,Musical,2014,213698.25,12.272320252
9971,88,06/12/2011,607783,46,6,Catch Me If You Can,8,Musical,2011,75972.875,11.238131648
3461,48,12/20/2009,175078,30,12,In The Next Room Or The Vibrator Play,8,Play,2009,21884.75,9.9935453262
13878,97,08/03/2008,996636,83,8,Mary Poppins,8,Musical,2008,124579.5,11.732699345
8573,66,04/17/2016,883616,57,4,On Your Feet!,8,Musical,2016,110452,11.612336316
13534,98,11/15/2015,1467772,90,11,Aladdin,8,Musical,2015,183471.5,12.119814621
6657,80,10/02/2005,503077,66,10,The Light In The Piazza,8,Musical,2005,62884.625,11.049056977
5747,54,05/06/2012,492622,37,5,Porgy And Bess '11,8,Musical,2012,61577.75,11.028055883
7898,69,09/30/2001,434856,56,9,"Kiss Me, Kate",8,Musical,2001,54357,10.903328679
11852,92,08/02/2015,1090526,72,8,The Phantom Of The Opera,8,Musical,2015,136315.75,11.822729165
13285,95,03/19/1995,541098,0,3,Miss Saigon,8,Musical,1995,67637.25,11.121914146
12242,101,08/23/2009,1212777,93,8,The Little Mermaid,8,Musical,2009,151597.125,11.928981788
